Code,Sample,Locality,ORF_Type,Year_Month,Upwelling
2694-01,POC08UTR,Utria,Type_1,2019_12,No
2694-02,POC09UTR,Utria,Type_1,2019_12,No
2694-03,POC11UTR,Utria,Type_1,2019_12,No
2694-04,POC12UTR,Utria,Type_1,2019_12,No
2694-05,POC13UTR,Utria,Type_1,2019_12,No
2694-06,POC14UTR,Utria,Type_1,2019_12,No
2694-07,POC28UTR,Utria,Type_1,2019_12,No
2694-08,POC29UTR,Utria,Type_1,2019_12,No
2694-09,POC35UTR,Utria,Type_1,2019_12,No
2694-10,POC36UTR,Utria,Type_1,2019_12,No
2694-11,POC05UTR,Utria,Type_3,2019_12,No
2694-12,POC06UTR,Utria,Type_3,2019_12,No
2694-13,POC07UTR,Utria,Type_3,2019_12,No
2694-14,POC15UTR,Utria,Type_3,2019_12,No
2694-15,POC16UTR,Utria,Type_3,2019_12,No
2694-16,POC17UTR,Utria,Type_3,2019_12,No
2694-17,POC18UTR,Utria,Type_3,2019_12,No
2694-18,POC19UTR,Utria,Type_3,2019_12,No
2694-19,POC21UTR,Utria,Type_3,2019_12,No
2694-20,POC34UTR,Utria,Type_3,2019_12,No
2694-21,POC49BS,Golfo Cupica,Type_1,2019_12,No
2694-22,POC06PT,Golfo Cupica,Type_1,2019_12,No
2694-23,POC45BS,Golfo Cupica,Type_1,2019_12,No
2694-24,POC50BS,Golfo Cupica,Type_1,2019_12,No
2694-25,POC52BS,Golfo Cupica,Type_1,2019_12,No
2694-26,POC53BS,Golfo Cupica,Type_1,2019_12,No
2694-27,POC54BS,Golfo Cupica,Type_1,2019_12,No
2694-28,POC57BS,Golfo Cupica,Type_1,2019_12,No
2694-29,POC58BS,Golfo Cupica,Type_1,2019_12,No
2694-30,POC59BS,Golfo Cupica,Type_1,2019_12,No
2694-31,POC01PT,Golfo Cupica,Type_3,2019_12,No
2694-32,POC03PT,Golfo Cupica,Type_3,2019_12,No
2694-33,POC07PT,Golfo Cupica,Type_3,2019_12,No
2694-34,POC12PT,Golfo Cupica,Type_3,2019_12,No
2694-35,POC13PT,Golfo Cupica,Type_3,2019_12,No
2694-36,POC14PT,Golfo Cupica,Type_3,2019_12,No
2694-37,POC15PT,Golfo Cupica,Type_3,2019_12,No
2694-38,POC47BS,Golfo Cupica,Type_3,2019_12,No
2694-39,POC60BS,Golfo Cupica,Type_3,2019_12,No
2694-40,POC61BS,Golfo Cupica,Type_3,2019_12,No
2694-41,Col1PcapH,Gorgona,Type_1,2019_09,No
2694-42,POC17VEN,Gorgona,Type_1,2021_04,Yes
2694-43,Col2PdamH,Gorgona,Type_1,2019_09,No
2694-44,Col3PcapH,Gorgona,Type_1,2019_09,No
2694-45,Col3PdamH,Gorgona,Type_1,2019_09,No
2694-46,Col4PdamH,Gorgona,Type_1,2019_09,No
2694-47,Col5PcapH,Gorgona,Type_1,2019_09,No
2694-48,Col5PdamH,Gorgona,Type_1,2019_09,No
2694-49,POC52AZU,Gorgona,Type_1,2019_09,No
2694-50,COL4Pcap,Gorgona,Type_1,2018_07,No
2694-51,Col1PdamH,Gorgona,Type_3,2019_09,No
2694-52,Col4PcapH,Gorgona,Type_3,2019_09,No
2694-53,COL1Pdam,Gorgona,Type_3,2018_07,No
2694-54,COL2Pdam,Gorgona,Type_3,2018_07,No
2694-55,POC04PB,Gorgona,Type_3,2021_04,Yes
2694-56,POC04PIZ,Gorgona,Type_3,2021_04,Yes
2694-57,POC05PB,Gorgona,Type_3,2021_04,Yes
2694-58,POC07PIZ,Gorgona,Type_3,2021_04,Yes
2694-59,COL4Pdam,Gorgona,Type_3,2018_07,No
2694-60,POC19VEN,Gorgona,Type_3,2021_04,Yes
