asv,2694-01-POC08UTR,2694-02-POC09UTR,2694-03-POC11UTR,2694-04-POC12UTR,2694-05-POC13UTR,2694-06-POC14UTR,2694-07-POC28UTR,2694-08-POC29UTR,2694-09-POC35UTR,2694-10-POC36UTR,2694-11-POC05UTR,2694-12-POC06UTR,2694-13-POC07UTR,2694-14-POC15UTR,2694-15-POC16UTR,2694-16-POC17UTR,2694-17-POC18UTR,2694-18-POC19UTR,2694-19-POC21UTR,2694-20-POC34UTR,2694-21-POC49BS,2694-22-POC06PT,2694-23-POC45BS,2694-24-POC50BS,2694-25-POC52BS,2694-26-POC53BS,2694-27-POC54BS,2694-28-POC57BS,2694-29-POC58BS,2694-30-POC59BS,2694-31-POC01PT,2694-32-POC03PT,2694-33-POC07PT,2694-34-POC12PT,2694-35-POC13PT,2694-36-POC14PT,2694-37-POC15PT,2694-38-POC47BS,2694-39-POC60BS,2694-40-POC61BS,2694-41-Col1PcapH,2694-42-POC17VEN,2694-43-Col2PdamH,2694-44-Col3PcapH,2694-45-Col3PdamH,2694-46-Col4PdamH,2694-47-Col5PcapH,2694-48-Col5PdamH,2694-49-POC52AZU,2694-50-COL4Pcap,2694-51-Col1PdamH,2694-52-Col4PcapH,2694-53-COL1Pdam,2694-54-COL2Pdam,2694-55-POC04PB,2694-56-POC04PIZ,2694-57-POC05PB,2694-58-POC07PIZ,2694-59-COL4Pdam,2694-60-POC19VEN
asv0001,377,794,482,138,202,1314,0,114,0,163,1172,1229,1153,1009,134,577,498,935,1108,1156,0,91,0,0,0,0,131,129,0,202,156,0,858,276,876,109,77,0,0,104,0,2815,622,140,207,185,141,129,749,2488,219,748,696,318,533,98,657,311,624,2255
asv0002,387,805,476,149,228,1366,107,109,0,149,1108,1263,1039,949,121,561,537,848,1103,1125,0,85,0,0,0,0,103,98,0,98,132,41,863,296,897,182,83,0,0,160,0,2929,605,139,173,188,95,127,776,2425,240,802,622,320,496,122,646,317,580,2210
asv0003,364,831,489,83,217,1342,127,111,0,164,1101,1217,1133,878,106,477,468,770,1067,1145,187,55,0,0,0,0,101,112,0,178,137,0,883,265,781,99,113,0,0,127,0,2622,567,132,199,161,159,135,720,2586,216,745,573,308,489,109,608,298,529,2321
asv0004,313,790,418,94,216,1227,0,124,0,144,1141,1272,1107,911,155,493,449,712,1109,1096,0,127,0,0,0,0,78,85,0,64,110,0,815,234,763,96,84,0,0,139,0,2603,524,160,212,199,88,109,671,2448,208,743,578,321,430,127,538,237,547,2259
asv0005,349,777,100,0,248,0,0,910,1812,0,0,0,0,247,348,147,0,0,240,0,462,1063,1217,1089,112,0,125,245,104,0,643,130,387,364,1125,229,279,1041,247,170,948,111,256,696,796,916,1079,336,0,0,778,785,0,194,1332,467,305,189,0,144
asv0006,380,868,0,0,239,0,220,930,1887,0,0,0,0,0,330,0,0,0,0,0,401,1078,1262,990,132,0,181,161,97,0,748,137,385,403,1233,198,240,969,92,163,883,211,259,674,857,1053,1104,299,0,0,852,851,164,0,1327,428,288,178,0,129
asv0007,277,596,379,119,152,1020,0,91,0,121,895,907,772,719,97,398,373,605,782,879,0,42,0,0,0,0,74,120,0,102,109,0,646,238,652,91,111,0,0,77,0,2063,473,104,144,121,69,99,551,1739,169,610,436,228,393,92,474,250,443,1705
asv0008,257,621,311,69,162,942,0,142,0,153,902,1060,817,618,0,367,338,580,836,842,0,0,0,0,0,0,71,57,0,0,123,0,746,150,494,65,103,0,0,146,0,1806,333,101,176,109,0,125,529,2047,147,474,399,265,374,78,435,193,408,2357
asv0009,272,566,360,57,139,934,49,96,0,166,764,956,798,699,68,396,379,654,678,908,98,63,0,0,0,0,79,66,0,0,112,0,656,232,647,85,95,0,0,88,0,2054,472,108,157,127,47,113,529,1742,157,545,451,216,384,95,465,223,404,1833
asv0010,322,781,0,0,234,132,94,830,1529,0,0,0,0,0,291,0,0,0,0,242,373,841,1036,1007,58,199,122,132,151,0,639,115,341,307,974,161,222,855,90,148,820,223,194,835,855,949,901,322,0,0,769,767,0,0,1230,461,283,176,0,132
asv0011,337,835,0,0,191,0,0,893,1668,0,0,0,0,0,264,0,0,72,0,0,430,883,1063,923,189,0,114,236,45,0,692,132,344,312,911,197,227,746,187,174,848,91,212,775,807,890,1025,341,138,0,811,676,0,0,1189,410,277,173,51,135
asv0012,421,168,0,1160,1227,0,1221,184,214,218,0,0,0,0,172,927,0,0,159,199,249,167,141,1515,231,0,0,186,0,0,510,356,178,400,432,67,269,442,0,497,846,0,171,884,1014,780,1317,605,0,0,873,933,0,0,200,328,0,172,0,86
asv0013,270,590,319,54,150,919,0,79,0,118,771,862,732,677,88,338,320,545,776,748,0,40,0,0,0,0,84,88,0,97,100,0,586,200,643,95,63,0,0,80,0,1948,391,87,124,136,0,94,491,1669,147,531,403,215,310,70,460,206,410,1754
asv0014,252,531,300,72,157,896,0,88,0,92,887,910,811,635,83,348,371,588,775,788,0,45,0,0,0,0,59,61,0,0,88,0,582,157,570,58,62,0,0,0,0,1860,416,112,151,102,0,148,467,1675,138,513,378,243,305,70,410,175,408,1731
asv0015,459,198,0,1173,1347,0,1239,167,225,209,0,0,0,0,0,1061,0,0,0,197,264,158,133,1334,0,0,0,0,0,0,576,378,200,364,422,135,254,461,0,547,914,0,152,907,1071,799,1348,578,0,0,868,976,0,0,0,315,0,0,0,0
asv0016,415,154,0,1006,1349,230,1108,143,210,192,0,0,0,0,0,929,0,0,118,163,238,230,137,1342,289,0,0,0,0,0,505,327,167,344,351,76,233,421,0,489,764,0,130,889,1024,689,1158,653,0,0,881,827,0,262,86,317,0,0,0,170
asv0017,220,521,292,53,126,794,0,81,0,108,765,871,800,607,0,360,308,551,613,817,0,71,0,0,0,0,103,62,0,50,84,0,596,182,561,71,66,0,0,68,0,1874,388,89,160,147,48,94,443,1587,147,514,364,176,336,70,407,195,354,1634
asv0018,451,184,0,943,1405,0,1060,189,176,191,0,0,0,0,0,915,0,0,0,167,228,195,131,1374,0,0,0,0,0,0,434,340,152,350,345,161,236,431,0,476,745,0,101,797,1116,717,1165,572,52,0,741,819,26,0,0,267,0,0,0,0
asv0019,248,590,0,0,153,0,0,738,1397,0,0,0,0,0,244,0,0,0,0,168,299,879,955,714,69,0,84,148,85,0,615,108,275,288,875,167,198,808,103,139,655,89,167,519,547,766,777,251,0,0,638,678,0,0,943,312,198,126,0,142
asv0020,224,501,297,0,135,765,0,108,0,95,677,745,673,547,0,327,338,509,610,690,0,0,0,0,0,0,49,0,0,0,84,0,491,170,532,75,64,0,0,67,0,1672,390,99,125,114,0,72,467,1448,136,522,376,175,265,68,401,190,357,1271
asv0021,236,480,299,0,119,748,0,74,0,141,621,761,579,573,0,302,269,472,619,619,0,0,0,0,0,0,53,97,0,55,87,0,465,178,482,0,88,0,0,56,185,1522,385,81,121,98,0,80,405,1423,132,507,357,192,241,51,369,169,337,1410
asv0022,244,537,0,0,171,0,0,688,1269,0,0,0,0,0,236,0,0,0,0,0,324,711,957,770,61,0,101,0,0,0,535,121,259,306,874,153,195,757,0,112,693,71,194,540,586,800,753,241,0,0,590,553,0,0,989,358,227,138,42,118
asv0023,215,427,272,83,114,718,0,50,0,82,579,724,586,484,55,250,270,514,624,629,0,74,0,0,0,0,68,58,0,105,75,0,425,144,481,53,63,0,0,63,0,1449,325,94,105,86,50,73,438,1313,108,402,317,183,283,72,324,154,304,1537
asv0024,221,402,276,70,151,699,44,57,0,89,608,673,571,537,47,246,237,529,611,569,0,69,0,0,0,0,54,45,0,35,76,0,477,165,446,104,52,0,0,86,0,1533,345,86,95,86,46,64,482,1279,102,466,296,151,266,54,365,165,339,1422
asv0025,0,0,0,0,0,0,161,0,0,0,1255,1527,1328,1130,178,499,512,856,1339,1293,0,0,0,0,0,0,0,0,0,0,141,0,918,322,888,111,156,0,0,0,0,0,0,0,0,183,0,0,0,0,240,0,746,275,0,75,667,318,499,0
asv0026,198,458,279,65,140,698,0,57,0,104,607,691,630,507,0,262,286,476,545,614,0,69,0,0,0,0,56,0,0,0,79,0,435,144,526,77,0,0,0,0,0,1449,292,86,99,97,61,85,428,1375,98,430,315,155,314,102,328,185,288,1327
asv0027,193,408,259,89,109,686,0,65,0,89,635,718,620,503,52,312,268,467,576,609,0,0,0,0,0,0,82,78,0,81,71,0,477,144,468,97,62,0,0,0,0,1492,308,91,121,114,0,50,399,1372,102,441,329,160,291,74,300,145,312,1193
asv0028,263,549,0,0,142,0,0,651,1291,0,0,0,0,0,194,115,0,0,0,0,286,687,762,704,0,0,83,0,78,0,540,99,258,267,796,152,181,638,55,121,610,0,167,611,554,682,790,225,0,0,577,557,0,0,936,334,186,113,0,97
asv0029,0,0,0,0,0,0,40,0,0,0,1140,1453,1232,1116,183,517,505,835,1346,1300,0,0,0,0,0,0,0,0,0,0,113,0,846,343,877,181,168,0,0,0,0,0,0,0,0,182,0,0,0,0,198,0,763,354,0,148,635,294,505,0
asv0030,0,0,0,0,0,0,59,0,0,0,1205,1530,1335,1084,148,424,425,831,1244,1299,0,0,0,0,0,0,0,0,0,0,158,0,899,299,774,173,136,0,0,0,0,0,0,0,0,186,0,0,0,0,212,0,692,331,0,97,591,301,462,0
asv0031,182,416,238,44,105,645,73,52,0,83,534,662,548,486,55,244,240,457,584,587,94,39,0,0,0,0,64,62,0,94,57,0,425,124,429,46,72,0,0,55,0,1243,288,69,84,83,65,80,368,1236,99,340,298,166,265,62,287,152,301,1507
asv0032,251,646,0,0,157,0,0,684,1115,0,0,0,0,0,182,0,0,0,0,0,311,688,714,721,0,0,79,0,0,0,440,103,290,238,688,111,169,559,0,102,586,0,137,609,762,671,667,359,0,0,639,435,0,0,954,296,180,99,0,116
asv0033,240,536,0,0,153,0,0,650,1136,0,0,0,0,0,210,0,0,0,0,0,307,718,776,647,58,0,99,0,71,0,499,112,237,258,744,133,153,656,0,116,580,0,144,557,555,677,686,244,0,0,513,520,0,0,870,282,181,121,0,153
asv0034,0,0,0,0,0,0,142,0,0,0,1181,1428,1226,1100,150,478,412,804,1188,1225,0,0,0,0,0,0,0,0,0,0,116,0,903,289,795,103,165,0,0,0,0,0,0,0,0,197,0,0,0,0,214,0,665,326,0,93,553,306,459,0
asv0035,190,499,0,0,143,0,0,578,1158,0,0,0,0,0,184,0,0,0,0,0,286,558,740,652,81,0,73,111,0,0,553,86,207,251,762,157,188,659,49,94,632,0,156,564,531,711,683,214,0,0,577,512,0,0,925,306,186,111,0,77
asv0036,170,416,244,42,134,652,0,64,0,70,572,725,534,409,82,256,225,456,564,565,0,92,0,0,0,0,54,45,0,43,43,0,452,120,351,56,39,0,0,84,0,1297,264,71,104,75,49,80,345,1209,96,358,297,139,251,61,273,127,291,1356
asv0037,297,133,0,776,986,0,857,118,195,160,0,0,0,0,0,742,0,0,0,116,160,90,117,971,150,0,0,132,0,0,466,262,116,288,318,57,234,375,0,379,622,0,105,687,686,565,1024,465,0,0,697,714,0,0,0,196,0,0,0,0
asv0038,170,396,215,61,118,567,0,49,0,67,584,778,591,444,0,252,238,394,500,571,0,0,0,0,0,0,0,0,0,0,60,0,501,136,357,55,39,0,0,0,0,1280,254,71,106,72,0,79,381,1312,84,328,251,153,245,48,280,130,281,1382
asv0039,333,110,0,736,864,0,943,111,138,150,0,0,0,0,0,733,0,0,0,122,176,95,118,1170,0,0,0,0,0,0,395,254,118,294,272,87,174,412,0,368,645,20,69,572,758,578,1003,459,0,0,575,656,0,0,0,234,0,0,0,58
asv0040,225,475,0,0,139,0,0,597,1118,0,0,0,0,0,209,0,0,0,0,37,231,642,731,567,0,0,121,87,42,0,456,83,244,242,702,138,185,614,0,150,556,0,140,440,485,635,668,187,0,0,505,489,0,0,798,291,189,116,0,95
asv0041,296,101,0,779,869,0,829,121,123,120,0,0,0,0,0,697,0,0,0,102,185,179,97,953,0,0,0,0,0,0,372,277,119,267,281,78,178,406,0,357,583,0,65,648,746,531,923,446,0,0,641,668,0,0,93,234,0,0,0,0
asv0042,202,508,0,0,118,0,0,542,1067,0,0,0,0,0,184,0,0,0,0,0,256,679,797,585,0,0,66,0,0,0,498,101,193,234,710,145,148,626,58,110,522,0,139,455,476,579,566,185,0,0,471,546,0,0,774,235,192,112,0,80
